id,author,pkg,version,elm_version,license,direct_dep_count,total_dep_count
2949,elm-community,elm-community/string-extra,4.0.1,0.19.0,BSD-3-Clause,2,3
2950,jackhp95,jackhp95/palit,1.0.0,0.19.0,BSD-3-Clause,4,8
2951,QiTASC,QiTASC/hatchinq,8.0.0,0.19.0,Apache-2.0,9,14
2952,EngageSoftware,EngageSoftware/elm-dnn-localization,1.0.2,0.19.0,Apache-2.0,4,6
2953,anhmiuhv,anhmiuhv/pannablevideo,2.0.1,0.19.0,BSD-3-Clause,3,9
2954,newmana,newmana/chroma-elm,5.0.0,0.19.0,Apache-2.0,4,7
2955,jonathanfishbein1,jonathanfishbein1/complex-numbers,2.3.0,0.19.0,BSD-3-Clause,3,5
2956,jonathanfishbein1,jonathanfishbein1/complex-numbers,2.2.0,0.19.0,BSD-3-Clause,2,4
2957,abradley2,abradley2/form-elements,4.0.0,0.19.0,MIT,6,10
2958,Skinney,Skinney/elm-phone-numbers,1.0.0,0.19.0,BSD-3-Clause,2,3
2959,billstclair,billstclair/elm-custom-element,1.4.0,0.19.0,MIT,6,10
2960,nathanjohnson320,nathanjohnson320/elm-ui-components,2.3.0,0.19.0,MIT,7,13
2961,nathanjohnson320,nathanjohnson320/elm-ui-components,2.2.0,0.19.0,MIT,7,13
2962,nathanjohnson320,nathanjohnson320/elm-ui-components,2.1.1,0.19.0,MIT,7,13
2963,Chadtech,Chadtech/return,1.0.3,0.19.0,BSD-3-Clause,1,2
2964,harmboschloo,harmboschloo/elm-dict-intersect,1.0.0,0.19.0,BSD-3-Clause,1,2
2965,jonathanfishbein1,jonathanfishbein1/complex-numbers,2.1.0,0.19.0,BSD-3-Clause,2,4
2966,BrianHicks,BrianHicks/elm-particle,1.1.1,0.19.0,BSD-3-Clause,5,10
2967,tad-lispy,tad-lispy/springs,1.0.4,0.19.0,GPL-3.0,1,2
2968,tad-lispy,tad-lispy/springs,1.0.3,0.19.0,GPL-3.0,1,2
2969,tad-lispy,tad-lispy/springs,1.0.2,0.19.0,GPL-3.0,1,2
2970,tad-lispy,tad-lispy/springs,1.0.1,0.19.0,GPL-3.0,1,2
2971,tad-lispy,tad-lispy/springs,1.0.0,0.19.0,GPL-3.0,1,2
2972,newmana,newmana/chroma-elm,4.3.0,0.19.0,Apache-2.0,4,7
2973,hecrj,hecrj/html-parser,2.2.0,0.19.0,BSD-3-Clause,5,7
2974,gicentre,gicentre/tidy,1.2.0,0.19.0,BSD-3-Clause,3,4
2975,zwilias,zwilias/elm-reorderable,1.2.0,0.19.0,BSD-3-Clause,1,2
2976,niho,niho/json-schema-form,3.0.0,0.19.0,MIT,6,13
2977,FabienHenon,FabienHenon/elm-ckeditor5,1.4.0,0.19.0,MIT,3,5
2978,munksgaard,munksgaard/char-extra,1.0.0,0.19.0,MIT,1,2
2979,newmana,newmana/chroma-elm,4.2.0,0.19.0,Apache-2.0,9,12
2980,avh4,avh4/elm-debug-controls,2.0.0,0.19.0,BSD-3-Clause,7,13
2981,newmana,newmana/chroma-elm,4.1.0,0.19.0,Apache-2.0,9,12
2982,billstclair,billstclair/elm-id-search,1.0.1,0.19.0,MIT,3,4
2983,joakin,joakin/elm-canvas,3.0.5,0.19.0,BSD-3-Clause,4,6
2984,joakin,joakin/elm-canvas,3.0.4,0.19.0,BSD-3-Clause,4,6
2985,FabienHenon,FabienHenon/elm-ckeditor5,1.3.0,0.19.0,MIT,3,5
2986,cultureamp,cultureamp/babel-elm-assets-plugin,1.0.0,0.19.0,MIT,1,2
2987,munksgaard,munksgaard/elm-media-type,1.1.0,0.19.0,MIT,9,10
2988,avh4,avh4/elm-beautiful-example,2.0.0,0.19.0,MIT,6,10
2989,bluedogtraining,bluedogtraining/bdt-elm,27.0.3,0.19.0,BSD-3-Clause,20,28
2990,billstclair,billstclair/elm-custom-element,1.3.0,0.19.0,MIT,6,10
2991,munksgaard,munksgaard/elm-data-uri,1.0.1,0.19.0,MIT,13,17
2992,munksgaard,munksgaard/elm-data-uri,1.0.0,0.19.0,MIT,13,17
2993,turboMaCk,turboMaCk/glue,3.0.2,0.19.0,BSD-3-Clause,2,5
2994,munksgaard,munksgaard/elm-media-type,1.0.0,0.19.0,MIT,9,10
2995,avh4,avh4/elm-github-v3,1.0.0,0.19.0,MIT,6,11
2996,adauguet,adauguet/elm-spanned-string,1.0.1,0.19.0,BSD-3-Clause,1,2
2997,jonathanfishbein1,jonathanfishbein1/complex-numbers,2.0.0,0.19.0,BSD-3-Clause,2,4
2998,billstclair,billstclair/elm-id-search,1.0.0,0.19.0,MIT,3,4
2999,bowbahdoe,bowbahdoe/elm-history,2.0.1,0.19.0,Apache-2.0,1,2
3000,bowbahdoe,bowbahdoe/elm-history,2.0.0,0.19.0,Apache-2.0,1,2
3001,bowbahdoe,bowbahdoe/elm-history,1.0.0,0.19.0,Apache-2.0,1,2
3002,adauguet,adauguet/elm-spanned-string,1.0.0,0.19.0,BSD-3-Clause,1,2
3003,jxxcarlson,jxxcarlson/elm-stat,4.0.3,0.19.0,BSD-3-Clause,8,26
3004,jxxcarlson,jxxcarlson/elm-stat,4.0.2,0.19.0,BSD-3-Clause,8,26
3005,zaboco,zaboco/elm-draggable,4.0.2,0.19.0,BSD-3-Clause,5,9
3006,PanagiotisGeorgiadis,PanagiotisGeorgiadis/elm-datetime,1.1.0,0.19.0,BSD-3-Clause,2,3
